vercel_project_name	deployment_id	deployment_url	created_at	production_or_preview	deployment_state	source_branch	source_commit	mapped_project_id	notes
aero-experiment-five-showcase	dpl_Bd3Mje9LyKtFoJg3tNL4J9xbY6uW	https://aero-experiment-five-showcase-pekjlc1yq-lekandigitals-projects.vercel.app	2026-07-04T23:45:07.216000+00:00	production	READY	main	1ec9f75c71fcbf26ed546d4e4116b0aab3d1383c		
aero-twitter-glass-lab	dpl_7vSwswsB9UhwLj4DcXNJr2HgGCGZ	https://aero-twitter-glass-hnwmcrvey-lekandigitals-projects.vercel.app	2026-07-04T23:45:07.245000+00:00	production	ERROR	main	1ec9f75c71fcbf26ed546d4e4116b0aab3d1383c		
soarlabs-ai	dpl_5GYF9SpTWKhQVftFCqfrpADDfntm	https://soarlabs-2808ufxt1-lekandigitals-projects.vercel.app	2026-06-28T02:46:12.973000+00:00	production	READY	main	eec518800502c091105e304d5ee2a5de5fddc4a9		
posepuppet-design-lab	dpl_7ZWPaqnj7yqdCQusRiZYWPDQifNj	https://posepuppet-design-6idwvubb3-lekandigitals-projects.vercel.app	2026-06-14T06:38:05.143000+00:00	production	READY	main	af0eae56aa9d0d7e11c3c92735f71654664d7a64		
13	dpl_CAoseQhQiPPnhkdKtShzPFFFUUvF	https://13-2kwi9yz2g-lekandigitals-projects.vercel.app	2026-06-14T01:57:56.185000+00:00	production	READY				
docustest	dpl_E4mS735cfJV9C3yHzMScM8QDw6uV	https://docustest-kucway05v-lekandigitals-projects.vercel.app	2026-06-05T18:36:56.732000+00:00	production	READY	main	99dc78ed08b7161da0525bb3f10b96c56124d6ba		
docus	dpl_DBmry441rbZUTtZ5cSDED73Q7fT7	https://docus-8dl1n9wnt-lekandigitals-projects.vercel.app	2026-06-05T18:36:25.556000+00:00	production	READY	main	99dc78ed08b7161da0525bb3f10b96c56124d6ba		
yeri-ios-glass-react	dpl_4AW5Qzk8f2kRXqpCMYsb8azyjfAv	https://yeri-ios-glass-react-hxyn5e5r8-lekandigitals-projects.vercel.app	2026-06-05T18:29:18.730000+00:00	production	READY	main	e3b723d8abb8a6673fcd070d8971904aa2404ef4		
yeri-io	dpl_7B1nur6VVpc4E5CsK4cGDoE2491U	https://yeri-c2kdmwbm0-lekandigitals-projects.vercel.app	2026-06-05T18:29:14.051000+00:00	production	READY	main	e3b723d8abb8a6673fcd070d8971904aa2404ef4		
yeri-earthview-io	dpl_4BnAkc2A3DQX7C6VsoVLe8btehNd	https://yeri-earthview-9vcwx8lke-lekandigitals-projects.vercel.app	2026-06-05T18:19:57.952000+00:00	production	READY	main	0627f9bfe9be70926ab7190881f92ae4db1bacbf		
openlore-me	dpl_8qX7rUZKppdHESkopfoH4bxH8nej	https://openlore-ont37trkr-lekandigitals-projects.vercel.app	2026-06-05T18:18:44.971000+00:00	production	READY	main	6e01acb523c1c197f758911d67a5fa10f00669cb		
filter-copier	dpl_A56TRhpXCpSrm76Xy26G8FtYBqd4	https://filter-copier-r8br09xye-lekandigitals-projects.vercel.app	2026-06-05T17:50:46.109000+00:00	production	READY	main	fbd95fdf41327edfc2cf844fdc3eebc715478efc		
1001ud-demo-me	dpl_5MwtjmAgLXj2CSZ6C6HymNA51NZB	https://1001ud-demo-jgzuz2jhw-lekandigitals-projects.vercel.app	2026-06-05T17:47:40.307000+00:00	production	READY	main	fe9487876f104b4a3f3841a05517f98a857f52b3		
1001ud-board-me	dpl_C7VxyHNebrxUJD9zWtmbbQyoqEdg	https://1001ud-board-d5crx81q5-lekandigitals-projects.vercel.app	2026-06-05T17:45:44.009000+00:00	production	READY	main	a5fb50f3593f473a1eb04dccd72af8b5dc5b7c3d		
onelink	dpl_HdFh2m2D9L4i6veWBNgFnRAU3Xc5	https://onelink-9u4xtlckh-lekandigitals-projects.vercel.app	2026-06-01T01:01:20.536000+00:00	production	READY	main	f4c047b8c636ed69f8e35c49a39d7740d58c312a		
filter-copier-app	dpl_J9guswmWS49RLW3VWU61NTKzwET5	https://filter-copier-a65ao5ad8-lekandigitals-projects.vercel.app	2026-06-05T17:42:12.212000+00:00		READY	main	fbd95fdf41327edfc2cf844fdc3eebc715478efc		
yeri-design-io	dpl_56cTzAWxCp2xJeXoJ3kRrkhwPqrg	https://yeri-design-h5hsr9dp0-lekandigitals-projects.vercel.app	2026-05-27T14:05:24.261000+00:00	production	READY	main	031434181daa9a706751615cbb92265d7324bcae		
yeri-blog-io	dpl_CjC54HqPTzjWiTSjugF1Y5MyGivt	https://yeri-blog-h59rp437m-lekandigitals-projects.vercel.app	2026-05-27T14:05:23.243000+00:00	production	READY	main	3c2b06ff6f328f44489b6e8abe0aa869cb91649e		
soarlabs-science	dpl_7t8apGGkURTpsgTi3BwJN3nU48Vy	https://soarlabs-science-cpmesqs63-lekandigitals-projects.vercel.app	2026-05-27T14:05:22.161000+00:00	production	READY	main	facd85c7972c143685ea58e4fae7fd6fbecca874		
soarlabs-fyi	dpl_9TGoZ68hsdtS4LEKT8dnBtsfU7ns	https://soarlabs-gc7nqmczs-lekandigitals-projects.vercel.app	2026-05-27T14:05:20.604000+00:00	production	READY	main	205f2da2a613718a084e22a724671ecfd0ff5bec		
olalekan-art	dpl_7x5s85SxB7HsUnLe7QeqT9jDf2gb	https://olalekan-gkjoim75g-lekandigitals-projects.vercel.app	2026-05-27T14:05:15.262000+00:00	production	READY	main	c36cae189d7838a4b794e08a641c3c235d7035e8		
microscopes-live	dpl_ELWanazfQ2szLB1sh7xgkU7zRaS2	https://microscopes-live-kuwhmyfmp-lekandigitals-projects.vercel.app	2026-05-27T14:05:14.539000+00:00	production	READY	main	2f188799969f34a630d24dbf18c0402f44e8296f		
kemi-one	dpl_BCQRmv4NbcB7mjTU6p1nmmhTQotw	https://kemi-hjt846tu6-lekandigitals-projects.vercel.app	2026-05-27T14:05:13.196000+00:00	production	READY	main	a60b88e51f961115750411080e03365126f292c5		
earthview-fix	dpl_EPghWUUbp9Gsb52yo4WGvPkE9buS	https://earthview-e9ejobqtg-lekandigitals-projects.vercel.app	2026-05-27T14:05:09.154000+00:00	production	READY	main	0627f9bfe9be70926ab7190881f92ae4db1bacbf		
1001ud-projects-me	dpl_F7aDiEh68SMQMv1VkTV5KTNoq8vW	https://1001ud-projects-qm15drk8g-lekandigitals-projects.vercel.app	2026-05-27T14:05:07.629000+00:00	production	READY	main	d27f839c0b888818afabfde6b4cb4165d3f27817		
projects	dpl_2x3HzGcAw3JNKP8vsFtGtJftAZgM	https://projects-632pqx5z4-lekandigitals-projects.vercel.app	2026-05-27T14:05:07.608000+00:00	production	READY	main	d27f839c0b888818afabfde6b4cb4165d3f27817		
test_project	dpl_ELDZXpqEdjMhLsNMXmET8P67jAbS	https://testproject-623a292bg-lekandigitals-projects.vercel.app	2025-11-27T03:51:42.467000+00:00	production	READY				
1001ud-board-mobile-telemetry	dpl_29oWuGzajV79gD2GSRbw7MGyCz1M	https://1001ud-board-mobile-telemetry-6egemh6xu-lekandigitals-projects.vercel.app	2026-05-19T01:02:22.487000+00:00	production	READY				
documentation-starter-kit	dpl_F67dR7WW9GXDUx4bVFs3VHgMSnJK	https://documentation-starter-awlis49lj-lekandigitals-projects.vercel.app	2025-08-19T07:46:40.644000+00:00	production	READY	main	605cd4e8b2a1a634d5a9c91918c07659264f0332		
misccomputerthings									no deployments
